Название,Способ обработки,Тип,Описание,Плотность,Кислотность,Количество,Единица,Цена,Цена за кг/шт,Рейтинг,Число отзывов
Эфиопия Гуджи,натуральный,для эспрессо,"Сладкий кофе с нотами грейпфрута , тёмных ягод и молочного шоколада",0.6,0.6,1000,г,2719,2719.0,4.6,856
Клин Скин,,для фильтра,"Cleanskin — термин, пришедший из виноделия и означающий продажу излишков производства по сниженной цене",,,1000,г,2309,2309.0,4.6,2923
Руанда Кигали,мытый,для эспрессо,"Сладкий кофе с нотами мёда , вишни и грейпфрута",0.6,0.8,1000,г,2599,2599.0,4.6,1029
Drip mix,,дрип-пакеты,Набор из 20 дрипов с четырьмя максимально непохожими вкусами,,,20,шт,1499,74.95,4.9,511
Кения Маунт,мытый,для фильтра,"Сочный кофе с нотами красной смородины , какао и чёрного чая",0.4,1.0,1000,г,2719,2719.0,4.7,1070
Колумбия Декаф,"без кофеина, этилацетат",омни,"Кофе без кофеина с нотами чернослива , красного яблока и тёмного шоколада",0.4,0.8,250,г,919,3676.0,4.7,1212
Руанда Киву,мытый,для фильтра,"Яркий кофе с нотами вишни , грейпфрута и тёмного шоколада",0.6,0.8,1000,г,2609,2609.0,4.6,1535
Эфиопия Сидамо,мытый,для фильтра,"Лёгкий кофе с нотами цветов , жёлтых фруктов и спелого лимона",0.2,0.6,1000,г,2369,2369.0,4.6,1246
Бэрри,смесь,дрип-пакеты,"Плотный кофе с нотами ореховой пасты , тёмных ягод и печенья",0.8,0.4,30,шт,1549,51.63,4.9,199
Эфиопия Оромия,мытый,для эспрессо,"Лёгкий кофе с нотами персика , цедры лимона и молочного шоколада",0.4,0.8,1000,г,2779,2779.0,4.7,743
Коста-Рика Сан-Хосе,мытый,для эспрессо,"Сладкий кофе с нотами грейпфрута , фундука и тёмного шоколада",0.4,0.8,1000,г,2579,2579.0,4.6,790
Бэрри,смесь,капсулы для nespresso,"Плотный кофе с нотами ореховой пасты , темных ягод и печенья",0.8,0.4,10,шт,429,42.9,4.5,122
